participant_id,age,option,choice,identity,reward_1,reward_2,reward_3,probed_identity,probed_reward,context_rwd,trial_n
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.125,22447.0
22.0,9.06,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22448.0
22.0,9.06,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22449.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.125,22451.0
22.0,9.06,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22452.0
22.0,9.06,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22453.0
22.0,9.06,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,22454.0
22.0,9.06,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22455.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22456.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22457.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,22459.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,-0.1111111111111111,22461.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,22463.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22464.0
22.0,9.06,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,22466.0
22.0,9.06,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,22467.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,22468.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,22469.0
22.0,9.06,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22470.0
22.0,9.06,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22471.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,22473.0
22.0,9.06,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,22474.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22475.0
22.0,9.06,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,22476.0
22.0,9.06,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22477.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22478.0
22.0,9.06,2.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22240.0
22.0,9.06,2.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,22241.0
22.0,9.06,2.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22242.0
22.0,9.06,2.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22243.0
