"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition","lure_bin"
"","html-keyboard-response","120","137586","0.0-120.0","null","<p></p>","null","","","","","","","",""
"","image","121","138318","0.0-121.0","730.1000000089407","run_exp/static/images/Set 6_rs/091a.jpg","86","","","","","","learn","SL",""
"","show_choice","122","139593","0.0-122.0","null","run_exp/static/images/Set 6_rs/091a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","123","140099","0.0-123.0","null","<p></p>","null","","","","","","","",""
"","image","124","141793","0.0-124.0","1692.7999999970198","run_exp/static/images/Set 6_rs/074a.jpg","78","","","","","","learn","SL",""
"","show_choice","125","142102","0.0-125.0","null","run_exp/static/images/Set 6_rs/074a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","126","142608","0.0-126.0","null","<p></p>","null","","","","","","","",""
"","image","127","144615","0.0-127.0","null","run_exp/static/images/Set 6_rs/181a.jpg","null","","","","","","learn","SL",""
"","show_choice","128","146621","0.0-128.0","null","run_exp/static/images/blank.png","null","","","","","","learn","SL",""
"","html-keyboard-response","129","147126","0.0-129.0","null","<p></p>","null","","","","","","","",""
"","image","130","148403","0.0-130.0","1275.0999999940395","run_exp/static/images/Set 6_rs/166a.jpg","86","","","","","","learn","SR",""
"","show_choice","131","149130","0.0-131.0","null","run_exp/static/images/Set 6_rs/166a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","132","149636","0.0-132.0","null","<p></p>","null","","","","","","","",""
"","image","133","150640","0.0-133.0","1002.4000000059605","run_exp/static/images/Set 6_rs/071a.jpg","86","","","","","","learn","SL",""
"","show_choice","134","151641","0.0-134.0","null","run_exp/static/images/Set 6_rs/071a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","135","152147","0.0-135.0","null","<p></p>","null","","","","","","","",""
"","image","136","152980","0.0-136.0","831.7999999970198","run_exp/static/images/Set 6_rs/007a.jpg","86","","","","","","learn","SR",""
"","show_choice","137","154153","0.0-137.0","null","run_exp/static/images/Set 6_rs/007a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","138","154659","0.0-138.0","null","<p></p>","null","","","","","","","",""
"","image","139","155701","0.0-139.0","1040.1000000089407","run_exp/static/images/Set 6_rs/132a.jpg","78","","","","","","learn","SR",""
"","show_choice","140","156666","0.0-140.0","null","run_exp/static/images/Set 6_rs/132a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","141","157168","0.0-141.0","null","<p></p>","null","","","","","","","",""
"","image","142","158355","0.0-142.0","1186","run_exp/static/images/Set 6_rs/121a.jpg","78","","","","","","learn","SR",""
"","show_choice","143","159172","0.0-143.0","null","run_exp/static/images/Set 6_rs/121a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","144","159677","0.0-144.0","null","<p></p>","null","","","","","","","",""
"","image","145","160516","0.0-145.0","836.3999999910593","run_exp/static/images/Set 6_rs/076a.jpg","78","","","","","","learn","SR",""
"","show_choice","146","161685","0.0-146.0","null","run_exp/static/images/Set 6_rs/076a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","147","162192","0.0-147.0","null","<p></p>","null","","","","","","","",""
"","image","148","163255","0.0-148.0","1060.2000000029802","run_exp/static/images/Set 6_rs/154a.jpg","86","","","","","","learn","SR",""
"","show_choice","149","164200","0.0-149.0","null","run_exp/static/images/Set 6_rs/154a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","150","164702","0.0-150.0","null","<p></p>","null","","","","","","","",""
"","image","151","166054","0.0-151.0","1349.5","run_exp/static/images/Set 6_rs/045a.jpg","86","","","","","","learn","SR",""
"","show_choice","152","166708","0.0-152.0","null","run_exp/static/images/Set 6_rs/045a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","153","167213","0.0-153.0","null","<p></p>","null","","","","","","","",""
"","image","154","168663","0.0-154.0","1447.4000000059605","run_exp/static/images/Set 6_rs/073a.jpg","86","","","","","","learn","SL",""
"","show_choice","155","169217","0.0-155.0","null","run_exp/static/images/Set 6_rs/073a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","156","169723","0.0-156.0","null","<p></p>","null","","","","","","","",""
"","image","157","170379","0.0-157.0","653.5","run_exp/static/images/Set 6_rs/112a.jpg","78","","","","","","learn","SR",""
"","show_choice","158","171729","0.0-158.0","null","run_exp/static/images/Set 6_rs/112a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","159","172233","0.0-159.0","null","<p></p>","null","","","","","","","",""
"","image","160","172550","0.0-160.0","315","run_exp/static/images/Set 6_rs/131a.jpg","86","","","","","","learn","SR",""
"","show_choice","161","174241","0.0-161.0","null","run_exp/static/images/Set 6_rs/131a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","162","174748","0.0-162.0","null","<p></p>","null","","","","","","","",""
"","image","163","175799","0.0-163.0","1049.2999999970198","run_exp/static/images/Set 6_rs/169a.jpg","78","","","","","","learn","SR",""
"","show_choice","164","176755","0.0-164.0","null","run_exp/static/images/Set 6_rs/169a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","165","177260","0.0-165.0","null","<p></p>","null","","","","","","","",""
"","image","166","177965","0.0-166.0","703","run_exp/static/images/Set 6_rs/187a.jpg","86","","","","","","learn","SR",""
"","show_choice","167","179266","0.0-167.0","null","run_exp/static/images/Set 6_rs/187a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","168","179768","0.0-168.0","null","<p></p>","null","","","","","","","",""
"","image","169","180606","0.0-169.0","836.1999999880791","run_exp/static/images/Set 6_rs/006a.jpg","86","","","","","","learn","SL",""
"","show_choice","170","181775","0.0-170.0","null","run_exp/static/images/Set 6_rs/006a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","171","182281","0.0-171.0","null","<p></p>","null","","","","","","","",""
"","image","172","182888","0.0-172.0","605.3000000119209","run_exp/static/images/Set 6_rs/178a.jpg","78","","","","","","learn","SR",""
"","show_choice","173","184285","0.0-173.0","null","run_exp/static/images/Set 6_rs/178a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","174","184791","0.0-174.0","null","<p></p>","null","","","","","","","",""
"","image","175","185586","0.0-175.0","793.2000000029802","run_exp/static/images/Set 6_rs/088a.jpg","78","","","","","","learn","SR",""
"","show_choice","176","186794","0.0-176.0","null","run_exp/static/images/Set 6_rs/088a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","177","187298","0.0-177.0","null","<p></p>","null","","","","","","","",""
"","image","178","187635","0.0-178.0","335.40000000596046","run_exp/static/images/Set 6_rs/141a.jpg","86","","","","","","learn","SR",""
"","show_choice","179","189301","0.0-179.0","null","run_exp/static/images/Set 6_rs/141a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","180","189807","0.0-180.0","null","<p></p>","null","","","","","","","",""
"","image","181","190738","0.0-181.0","929.5","run_exp/static/images/Set 6_rs/168a.jpg","86","","","","","","learn","SL",""
"","show_choice","182","191814","0.0-182.0","null","run_exp/static/images/Set 6_rs/168a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","183","192318","0.0-183.0","null","<p></p>","null","","","","","","","",""
"","image","184","192882","0.0-184.0","562","run_exp/static/images/Set 6_rs/079a.jpg","78","","","","","","learn","SL",""
"","show_choice","185","194322","0.0-185.0","null","run_exp/static/images/Set 6_rs/079a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","186","194828","0.0-186.0","null","<p></p>","null","","","","","","","",""
"","image","187","195750","0.0-187.0","920.5999999940395","run_exp/static/images/Set 6_rs/191a.jpg","86","","","","","","learn","SL",""
"","show_choice","188","196831","0.0-188.0","null","run_exp/static/images/Set 6_rs/191a.jpg","null","","","","","","learn","SL",""
"","html-keyboard-response","189","197337","0.0-189.0","null","<p></p>","null","","","","","","","",""
"","image","190","198127","0.0-190.0","787.8999999910593","run_exp/static/images/Set 6_rs/186a.jpg","86","","","","","","learn","SR",""
"","show_choice","191","199341","0.0-191.0","null","run_exp/static/images/Set 6_rs/186a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","192","199845","0.0-192.0","null","<p></p>","null","","","","","","","",""
"","image","193","200604","0.0-193.0","757.0999999940395","run_exp/static/images/Set 6_rs/012a.jpg","86","","","","","","learn","SR",""
"","show_choice","194","201852","0.0-194.0","null","run_exp/static/images/Set 6_rs/012a.jpg","null","","","","","","learn","SR",""
"","html-keyboard-response","195","202354","0.0-195.0","null","<p></p>","null","","","","","","","",""
"","test_intro","196","243750","0.0-196.0","null","run_exp/static/audio/clip_2_memory.m4a","null","","","","","<div class='center'><p>Now, let’s see how much you remember about the items you just saw.  For each item, you need to indicate if it was <b>old</b> by pressing the <b>v</b> key, <b>similar</b> by pressing the <b>b</b> key, or <b>new</b> by pressing the <b>n</b> key.</p><p>Old refers to an item that you saw before in the indoor/outdoor game that you just played, new refers to an item you have <b>not</b> seen before within the indoor/outdoor game, and similar refers to an item that is similar to an item you’ve seen before but is not exactly the same. </p><p>Before we begin, let’s go over some brief demonstrations to make sure you understand.</p></div>","","",""
"","html-keyboard-response","197","244400","0.0-197.0","647.8999999910593","<div class='center'><p>Now, let’s see how much you remember about the items you just saw.  For each item, you need to indicate if it was <b>old</b> by pressing the <b>v</b> key, <b>similar</b> by pressing the <b>b</b> key, or <b>new</b> by pressing the <b>n</b> key.</p><p>Old refers to an item that you saw before in the indoor/outdoor game that you just played, new refers to an item you have <b>not</b> seen before within the indoor/outdoor game, and similar refers to an item that is similar to an item you’ve seen before but is not exactly the same. </p><p>Before we begin, let’s go over some brief demonstrations to make sure you understand.</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","items","198","251907","0.0-198.0","null","run_exp/static/audio/clip_3_items.m4a","null","","","","","","","",""
"","mop","199","256414","0.0-199.0","null","run_exp/static/audio/clip_4_mop.m4a","null","","","","","","","",""
"","baseball","200","259920","0.0-200.0","null","run_exp/static/audio/clip_5_baseball.m4a","null","","","","","","","",""
"","trumpet","201","263423","0.0-201.0","null","run_exp/static/audio/clip_6_trumpet.m4a","null","","","","","","","",""
"","gummies","202","266928","0.0-202.0","null","run_exp/static/audio/clip_7_gummies.m4a","null","","","","","","","",""
"","osn","203","271435","0.0-203.0","null","run_exp/static/audio/clip_8_osn.m4a","null","","","","","","","",""
"","old_1","204","277943","0.0-204.0","null","run_exp/static/audio/clip_9_old_trumpet.m4a","null","","","","","","","",""
"","new_1","205","285446","0.0-205.0","null","run_exp/static/audio/clip_10_new_balloon.m4a","null","","","","","","","",""
"","similar_1a","206","289953","0.0-206.0","null","run_exp/static/audio/clip_11a_similar_mop.m4a","null","","","","","","","",""
"","similar_1b","207","296458","0.0-207.0","null","run_exp/static/audio/clip_11b_similar_mop.m4a","null","","","","","","","",""
"","new_2","208","299966","0.0-208.0","null","run_exp/static/audio/clip_12_new_stoplight.m4a","null","","","","","","","",""
"","old_2","209","303471","0.0-209.0","null","run_exp/static/audio/clip_13_old_baseball.m4a","null","","","","","","","",""
"","similar_2a","210","306975","0.0-210.0","null","run_exp/static/audio/clip_14a_similar_gummies.m4a","null","","","","","","","",""
"","similar_2b","211","314480","0.0-211.0","null","run_exp/static/audio/clip_14b_similar_gummies.m4a","null","","","","","","","",""
"","practice","212","330201","0.0-212.0","null","run_exp/static/audio/clip_15_practice.m4a","null","","","","","<div class='center'><p>Ok, let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game. Study these because you’ll be tested on them soon in this practice game. </p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p></div>","","",""
"","html-keyboard-response","213","331943","0.0-213.0","1740.5","<div class='center'><p>Ok, let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game. Study these because you’ll be tested on them soon in this practice game. </p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","",""
"","practice_q1","214","336610","0.0-214.0","4663.79999999702","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","","",""
"","correct","215","338490","0.0-215.0-0.0","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","","",""
