success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
,show_choice,164,180649,0.0-164.0,null,run_exp/static/images/Set 6_rs/023a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,165,181154,0.0-165.0,null,<p></p>,null,,,,,,,,
,image,166,181738,0.0-166.0,583.1999998,run_exp/static/images/Set 6_rs/166a.jpg,78,,,,,,learn,SR,
,show_choice,167,183159,0.0-167.0,null,run_exp/static/images/Set 6_rs/166a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,168,183664,0.0-168.0,null,<p></p>,null,,,,,,,,
,image,169,184753,0.0-169.0,1088.099999,run_exp/static/images/Set 6_rs/141a.jpg,86,,,,,,learn,SR,
,show_choice,170,185670,0.0-170.0,null,run_exp/static/images/Set 6_rs/141a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,171,186175,0.0-171.0,null,<p></p>,null,,,,,,,,
,image,172,187082,0.0-172.0,905.4000006,run_exp/static/images/Set 6_rs/024a.jpg,86,,,,,,learn,SR,
,show_choice,173,188179,0.0-173.0,null,run_exp/static/images/Set 6_rs/024a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,174,188685,0.0-174.0,null,<p></p>,null,,,,,,,,
,image,175,189650,0.0-175.0,963.8999996,run_exp/static/images/Set 6_rs/117a.jpg,86,,,,,,learn,SL,
,show_choice,176,190689,0.0-176.0,null,run_exp/static/images/Set 6_rs/117a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,177,191193,0.0-177.0,null,<p></p>,null,,,,,,,,
,image,178,192082,0.0-178.0,888.1999998,run_exp/static/images/Set 6_rs/010a.jpg,78,,,,,,learn,SR,
,show_choice,179,193199,0.0-179.0,null,run_exp/static/images/Set 6_rs/010a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,180,193701,0.0-180.0,null,<p></p>,null,,,,,,,,
,image,181,194402,0.0-181.0,699.6000004,run_exp/static/images/Set 6_rs/126a.jpg,86,,,,,,learn,SR,
,show_choice,182,195705,0.0-182.0,null,run_exp/static/images/Set 6_rs/126a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,183,196207,0.0-183.0,null,<p></p>,null,,,,,,,,
,image,184,197170,0.0-184.0,961.6000004,run_exp/static/images/Set 6_rs/017a.jpg,86,,,,,,learn,SL,
,show_choice,185,198209,0.0-185.0,null,run_exp/static/images/Set 6_rs/017a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,186,198715,0.0-186.0,null,<p></p>,null,,,,,,,,
,image,187,199394,0.0-187.0,678.5,run_exp/static/images/Set 6_rs/075a.jpg,86,,,,,,learn,SR,
,show_choice,188,200717,0.0-188.0,null,run_exp/static/images/Set 6_rs/075a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,189,201218,0.0-189.0,null,<p></p>,null,,,,,,,,
